Nome_Cliente,Data_Pedido,Data_Devolucao,Cod_Filme
WARALO,4/24/13,4/27/13,10874
OLDIPS,4/26/13,4/29/13,10875
ERNDEL,4/29/13,2/5/2013,10876
RANREZ,4/23/13,4/26/13,10877
NORHER,4/27/13,4/30/13,10878
DRAIEB,5/5/2013,8/5/2013,10879
ARORDY,4/28/13,1/5/2013,10880
CHOANG,1/5/2013,4/5/2013,10881
HUNMER,3/5/2013,6/5/2013,10882
LAUURI,1/5/2013,4/5/2013,10883
WOLICZ,4/28/13,1/5/2013,10884
ROMINO,4/28/13,1/5/2013,10885
ANALLO,4/27/13,4/30/13,10886
TRAUES,2/5/2013,5/5/2013,10887
LAMLET,4/28/13,1/5/2013,10888
FAMRUZ,4/26/13,4/29/13,10889
FRAITT,7/5/2013,10/5/2013,10890
MAIWEY,4/23/13,4/26/13,10891
BERUND,4/23/13,4/26/13,10892
CONOWN,4/5/2013,7/5/2013,10893
BOTOLN,2/5/2013,5/5/2013,10894
BLAOOS,1/5/2013,4/5/2013,10895
ISLETT,4/26/13,4/29/13,10896
PRITRO,4/26/13,4/29/13,10897
RICIRA,2/5/2013,5/5/2013,10898
DUMUNE,3/5/2013,6/5/2013,10899
TOMPHS,1/5/2013,4/5/2013,10900
BONHAN,4/5/2013,7/5/2013,10901
QUELHO,3/5/2013,6/5/2013,10902
ALFERS,4/23/13,4/26/13,10903
FOLSON,4/28/13,1/5/2013,10904
FOLNCE,2/5/2013,5/5/2013,10905
VICLEY,4/5/2013,7/5/2013,10906
HUNNNA,1/5/2013,4/5/2013,10907
WELNTE,1/5/2013,4/5/2013,10908
RATSON,4/27/13,4/30/13,10909
LEHNER,3/5/2013,6/5/2013,10910
WANLER,6/5/2013,9/5/2013,10911
BSBRTH,7/5/2013,10/5/2013,10912
OCEADA,4/26/13,4/29/13,10913
MORUER,2/5/2013,5/5/2013,10914
GOUECA,3/5/2013,6/5/2013,10915
EASVON,4/5/2013,7/5/2013,10916
ANTENO,4/24/13,4/27/13,10917
SPLGER,4/28/13,1/5/2013,10918
QUESTA,4/27/13,4/30/13,10919
LILLEZ,4/28/13,1/5/2013,10920
HILDEZ,4/29/13,2/5/2013,10921
LACINI,6/5/2013,9/5/2013,10922
FISOEL,3/5/2013,6/5/2013,10923
SPEIER,4/25/13,4/28/13,10924
GALDRA,4/23/13,4/26/13,10925
LINRDO,6/5/2013,9/5/2013,10926
LONSON,4/30/13,3/5/2013,10927
CENANG,7/5/2013,10/5/2013,10928
BLOAUX,4/30/13,3/5/2013,10929
PICPPS,4/25/13,4/28/13,10930
MAGLLI,4/30/13,3/5/2013,10931
PERDEZ,4/25/13,4/28/13,10932
SEVMAR,4/28/13,1/5/2013,10933
TRAAGY,4/25/13,4/28/13,10934
OTTEIM,4/5/2013,7/5/2013,10935
QUIOSS,2/5/2013,5/5/2013,10936
GREDER,4/23/13,4/26/13,10937
LETRES,4/24/13,4/27/13,10938
MERERE,4/5/2013,7/5/2013,10939
LAZEEL,4/29/13,2/5/2013,10940
SANSEN,4/24/13,4/27/13,10941
SAVTTI,4/28/13,1/5/2013,10942
GODYRE,1/5/2013,4/5/2013,10943
SIMSEN,6/5/2013,9/5/2013,10944
WHISKI,5/5/2013,8/5/2013,10945
FURUEZ,6/5/2013,9/5/2013,10946
THEONG,4/30/13,3/5/2013,10947
THEXON,4/29/13,2/5/2013,10948
GROIRA,4/28/13,1/5/2013,10949
PARAND,4/27/13,4/30/13,10950
HANTES,4/23/13,4/26/13,10951
BOLMER,1/5/2013,4/5/2013,10952
WILNEN,4/28/13,1/5/2013,10953
REGONI,4/23/13,4/26/13,10954
RICOLZ,4/27/13,4/30/13,10955
TORINO,4/5/2013,7/5/2013,10956
VAFSEN,7/5/2013,10/5/2013,10957
FRARTI,4/25/13,4/28/13,10958
SUPAIN,3/5/2013,6/5/2013,10959
CACSON,3/5/2013,6/5/2013,10960
VINIOT,5/5/2013,8/5/2013,10961
COMNSO,4/25/13,4/28/13,10962
FRAKEN,4/29/13,2/5/2013,10963
KOEMER,4/29/13,2/5/2013,10964
WARALO,4/30/13,3/5/2013,10965
OLDIPS,4/25/13,4/28/13,10966
ERNDEL,4/24/13,4/27/13,10967
RANREZ,2/5/2013,5/5/2013,10968
NORHER,4/30/13,3/5/2013,10969
DRAIEB,1/5/2013,4/5/2013,10970
ARORDY,4/26/13,4/29/13,10971
CHOANG,7/5/2013,10/5/2013,10972
HUNMER,4/24/13,4/27/13,10973
LAUURI,4/5/2013,7/5/2013,10974
WOLICZ,4/28/13,1/5/2013,10975
ROMINO,4/28/13,1/5/2013,10976
ANALLO,6/5/2013,9/5/2013,10977
TRAUES,4/5/2013,7/5/2013,10978
LAMLET,4/5/2013,7/5/2013,10979
FAMRUZ,5/5/2013,8/5/2013,10980
FRAITT,4/28/13,1/5/2013,10981
MAIWEY,7/5/2013,10/5/2013,10982
BERUND,4/25/13,4/28/13,10983
CONOWN,2/5/2013,5/5/2013,10984
BOTOLN,2/5/2013,5/5/2013,10985
BLAOOS,1/5/2013,4/5/2013,10986
ISLETT,2/5/2013,5/5/2013,10987
PRITRO,7/5/2013,10/5/2013,10988
RICIRA,4/29/13,2/5/2013,10989
DUMUNE,6/5/2013,9/5/2013,10990
TOMPHS,4/5/2013,7/5/2013,10991
BONHAN,4/26/13,4/29/13,10992
QUELHO,2/5/2013,5/5/2013,10993
ALFERS,4/25/13,4/28/13,10994
FOLSON,2/5/2013,5/5/2013,10995
FOLNCE,4/5/2013,7/5/2013,10996
VICLEY,2/5/2013,5/5/2013,10997
HUNNNA,1/5/2013,4/5/2013,10998
WELNTE,7/5/2013,10/5/2013,10999
RATSON,4/27/13,4/30/13,11000
LEHNER,6/5/2013,9/5/2013,11001
WANLER,4/25/13,4/28/13,11002
BSBRTH,6/5/2013,9/5/2013,11003
OCEADA,4/29/13,2/5/2013,11004
MORUER,7/5/2013,10/5/2013,11005
GOUECA,2/5/2013,5/5/2013,11006
EASVON,4/26/13,4/29/13,11007
ANTENO,3/5/2013,6/5/2013,11008
SPLGER,4/27/13,4/30/13,11009
QUESTA,4/30/13,3/5/2013,11010
LILLEZ,4/25/13,4/28/13,11011
HILDEZ,4/24/13,4/27/13,11012
LACINI,4/24/13,4/27/13,11013
FISOEL,7/5/2013,10/5/2013,11014
SPEIER,4/30/13,3/5/2013,11015
GALDRA,1/5/2013,4/5/2013,11016
LINRDO,4/29/13,2/5/2013,11017
LONSON,4/5/2013,7/5/2013,11018
CENANG,5/5/2013,8/5/2013,11019
BLOAUX,4/26/13,4/29/13,11020
PICPPS,4/24/13,4/27/13,11021
MAGLLI,4/27/13,4/30/13,11022
PERDEZ,3/5/2013,6/5/2013,11023
SEVMAR,4/30/13,3/5/2013,11024
TRAAGY,4/23/13,4/26/13,11025
OTTEIM,4/27/13,4/30/13,11026
QUIOSS,1/5/2013,4/5/2013,11027
GREDER,4/30/13,3/5/2013,11028
LETRES,2/5/2013,5/5/2013,11029
MERERE,2/5/2013,5/5/2013,11030
LAZEEL,4/27/13,4/30/13,11031
SANSEN,5/5/2013,8/5/2013,11032
SAVTTI,4/29/13,2/5/2013,11033
GODYRE,4/30/13,3/5/2013,11034
SIMSEN,4/29/13,2/5/2013,11035
WHISKI,4/5/2013,7/5/2013,11036
FURUEZ,2/5/2013,5/5/2013,11037
THEONG,7/5/2013,10/5/2013,11038
THEXON,7/5/2013,10/5/2013,11039
GROIRA,4/29/13,2/5/2013,11040
PARAND,5/5/2013,8/5/2013,11041
HANTES,4/29/13,2/5/2013,11042
BOLMER,4/26/13,4/29/13,11043
WILNEN,4/26/13,4/29/13,11044
REGONI,5/5/2013,8/5/2013,11045
RICOLZ,4/30/13,3/5/2013,11046
TORINO,4/30/13,3/5/2013,11047
VAFSEN,6/5/2013,9/5/2013,11048
FRARTI,4/24/13,4/27/13,11049
SUPAIN,4/5/2013,7/5/2013,11050
CACSON,4/28/13,1/5/2013,11051
VINIOT,4/30/13,3/5/2013,11052
COMNSO,4/27/13,4/30/13,11053
FRAKEN,7/5/2013,10/5/2013,11054
KOEMER,7/5/2013,10/5/2013,11055
WARALO,4/30/13,3/5/2013,11056
OLDIPS,4/27/13,4/30/13,11057
ERNDEL,1/5/2013,4/5/2013,11058
RANREZ,4/30/13,3/5/2013,11059
NORHER,4/28/13,1/5/2013,11060
DRAIEB,4/24/13,4/27/13,11061
ARORDY,4/29/13,2/5/2013,11062
CHOANG,4/5/2013,7/5/2013,11063
HUNMER,1/5/2013,4/5/2013,11064
LAUURI,4/28/13,1/5/2013,11065
WOLICZ,4/29/13,2/5/2013,11066
ROMINO,3/5/2013,6/5/2013,11067
ANALLO,4/24/13,4/27/13,11068
TRAUES,4/5/2013,7/5/2013,11069
LAMLET,4/23/13,4/26/13,11070
FAMRUZ,4/26/13,4/29/13,11071
FRAITT,4/5/2013,7/5/2013,11072
MAIWEY,4/25/13,4/28/13,11073
BERUND,7/5/2013,10/5/2013,11074
CONOWN,6/5/2013,9/5/2013,11075
BOTOLN,3/5/2013,6/5/2013,11076
BLAOOS,4/29/13,2/5/2013,11077
